Phonological Forms,Syllabic Structures,Number of Syllables,Written Forms,Syntactic Categories,Frequency,Stress Patterns
ci.jɒ.co.lɒ,CV.CV.CV.CV,4,كياكولا,N1,15,WWWS
ci.jɒ.læc,CV.CV.CVC,3,كيالك,N1,1,WWS
ci.jɒn,CV.CVC,2,كيان,N1,45,WS
ci.jɒn.tɒ.jer,CV.CVC.CV.CVC,4,كيان‌‌تاير,N1,5,WWWS
cib,CVC,1,كيب,V1,5000,S
ci.bord,CV.CVCC,2,كيبورد,N1,1,WS
ci.bid,CV.CVC,2,كيبيد,V2,5000,WS
cip,CVC,1,كيپ,A0,2,S
ci.tin,CV.CVC,2,كيتين,N1,1,WS
cejd,CVCC,1,كيد,N1,12,S
cir,CVC,1,كير,N1,1,S
cis,CVC,1,كيس,N1,1,S
cist,CVCC,1,كيست,N1,75,S
ci.sæc,CV.CVC,2,كيسك,N1,1,WS
ci.se,CV.CV,2,كيسه,N1,90,WS
ci.se.ʔi,CV.CV.CV,3,كيسه‌‌اي,A0,8,WWS
ci.se.ʃo.de,CV.CV.CV.CV,4,كيسه‌‌شده,A0,2,WWWS
ci.se.ceʃ,CV.CV.CVC,3,كيسه‌‌كش,A0,3,WWS
ci.se.ʔi,CV.CV.CV,3,كيسه‌اي,A0,1,WWS
ci.se.tæ.nɒn,CV.CV.CV.CVC,4,كيسه‌تنان,N1,1,WWWS
ci.se.ʤib,CV.CV.CVC,3,كيسه‌جيب,N1,1,WWS
ci.se.χɒb,CV.CV.CVC,3,كيسه‌خواب,N1,1,WWS
ci.se.dɒ.rɒn,CV.CV.CV.CVC,4,كيسه‌داران,N1,1,WWWS
ciʃ,CVC,1,كيش,N1,405,S
cejf,CVCC,1,كيف,N1,1,S
cif,CVC,1,كيف,N1,60,S
cif.ro.bɒ,CVC.CV.CV,3,كيف‌ربا,N1,1,WWS
cif.ro.bɒ.ji,CVC.CV.CV.CV,4,كيف‌ربايي,N1,1,WWWS
cif.zæn,CVC.CVC,2,كيف‌زن,N1,1,WS
cif.Gɒp,CVC.CVC,2,كيف‌قاپ,A0,45,WS
cif.Gɒ.pi,CVC.CV.CV,3,كيف‌قاپي,N1,15,WWS
cej.fær,CVC.CVC,2,كيفر,N1,30,WS
cej.fær.χɒst,CVC.CVC.CVCC,3,كيفرخواست,N1,60,WWS
cej.fær.de.hi,CVC.CVC.CV.CV,4,كيفردهي,N1,1,WWWS
cej.fær.zo.dɒ.ji,CVC.CVC.CV.CV.CV,5,كيفرزدايي,N1,1,WWWWS
cej.fæ.ri,CVC.CV.CV,3,كيفري,A0,1215,WWS
cej.fæ.ri.si.jɒ.si,CVC.CV.CV.CV.CV.CV,6,كيفري‌‌سياسي,A0,1,WWWWWS
cej.fur,CVC.CVC,2,كيفور,A0,1,WS
cej.fi,CVC.CV,2,كيفي,A0,360,WS
ci.fi,CV.CV,2,كيفي,A0,1,WS
cej.fij.jæt,CVC.CVC.CVC,3,كيفيت,N1,855,WWS
cej.fij.jæt.bæχ.ʃi,CVC.CVC.CVC.CVC.CV,5,كيفيت‌‌بخشي,N1,3,WWWWS
cej.fij.jæ.ti,CVC.CVC.CV.CV,4,كيفيتي,A0,45,WWWS
cejc,CVCC,1,كيك,N1,15,S
ci.com,CV.CVC,2,كيكم,N1,1,WS
cil,CVC,1,كيل,N1,1,S
cil.cɒ,CVC.CV,2,كيلكا,N1,105,WS
cej.le,CVC.CV,2,كيله,N1,2,WS
ci.lu,CV.CV,2,كيلو,N1,255,WS
ci.lu.cɒ.lo.ri,CV.CV.CV.CV.CV,5,كيلو‌‌كالري,N1,8,WWWWS
ci.lu.volt,CV.CV.CVCC,3,كيلو‌‌ولت,N1,89,WWS
ci.lus,CV.CVC,2,كيلوس,N1,1,WS
ci.lu.sicl,CV.CV.CVCC,3,كيلوسيكل,N1,1,WWS
ci.lu.ɟe.ræm,CV.CV.CV.CVC,4,كيلوگرم,N1,1575,WWWS
ci.lu.ɟe.ræ.mi,CV.CV.CV.CV.CV,5,كيلوگرمي,A0,26,WWWWS
ci.lu.metr,CV.CV.CVCC,3,كيلومتر,N1,915,WWS
ci.cu.metr.ʃo.mɒr,CV.CV.CVCC.CV.CVC,5,كيلومتر‌‌شمار,A0,1,WWWWS
ci.lu.met.re.mo.cæʔ.ʔæb,CV.CV.CVC.CV.CV.CVC.CVC,7,كيلومتر‌‌مكعب,N1,3,WWWWWWS
ci.lu.met.re.mo.ræb.bæʔ,CV.CV.CVC.CV.CV.CVC.CVC,7,كيلومترمربع,N1,270,WWWWWWS
ci.lu.met.ri,CV.CV.CVC.CV,4,كيلومتري,A0,165,WWWS
ci.lu.hertz,CV.CV.CVCCC,3,كيلوهرتز,N1,90,WWS
ci.lu.herts,CV.CV.CVCCC,3,كيلوهرتس,N1,1,WWS
ci.lu.vɒt,CV.CV.CVC,3,كيلووات,N1,15,WWS
ci.lu.vɒ.ti,CV.CV.CV.CV,4,كيلوواتي,A0,3,WWWS
ci.lu.ji,CV.CV.CV,3,كيلويي,A0,12,WWS
cim,CVC,1,كيم,N1,40,S
ci.mo.zin,CV.CV.CVC,3,كيموزين,N1,1,WWS
ci.mus,CV.CVC,2,كيموس,N1,1,WS
ci.mo.no,CV.CV.CV,3,كيمونو,N1,1,WWS
ci.mi.jɒ,CV.CV.CV,3,كيميا,N1,8,WWS
ci.mi.jɒ.ʔi,CV.CV.CV.CV,4,كيميائي,N1,60,WWWS
ci.mi.jɒ.ɟær,CV.CV.CV.CVC,4,كيمياگر,A0,12,WWWS
ci.mi.jɒ.ɟæ.ri,CV.CV.CV.CV.CV,5,كيمياگري,N1,1,WWWWS
ci.mi.jɒ.je.sæ.ʔɒ.dæt,CV.CV.CV.CV.CV.CV.CVC,7,كيمياي‌‌سعادت,N1,1,WWWWWWS
cin,CVC,1,كين,N1,45,S
cin.tu.zɒ.ne,CVC.CV.CV.CV,4,كين‌‌توزانه,Ad,1,WWWS
cin.χɒh,CVC.CVC,2,كين‌‌خواه,A0,1,WS
cin.χɒ.hi,CVC.CV.CV,3,كين‌‌خواهي,N1,2,WWS
cin.tuz,CVC.CVC,2,كين‌توز,N1,1,WS
cin.tu.zi,CVC.CV.CV,3,كين‌توزي,N1,1,WWS
ci.ne.tic,CV.CV.CVC,3,كينتيك,N1,1,WWS
cin.χɒ.hɒ.ne,CVC.CV.CV.CV,4,كينخواهانه,Ad,1,WWWS
ci.ne.mɒ.tic,CV.CV.CV.CVC,4,كينماتيك,N1,1,WWWS
ci.ne,CV.CV,2,كينه,N1,60,WS
ci.ne.ʔɒ.fæ.ri.ni,CV.CV.CV.CV.CV.CV,6,كينه‌‌آفريني,N1,1,WWWWWS
ci.ne.tuz,CV.CV.CVC,3,كينه‌‌توز,A0,6,WWS
ci.ne.tu.zɒ.ne,CV.CV.CV.CV.CV,5,كينه‌‌توزانه,Ad,8,WWWWS
ci.ne.tu.zi,CV.CV.CV.CV,4,كينه‌‌توزي,N1,34,WWWS
ci.ne.ʤu,CV.CV.CV,3,كينه‌‌جو,A0,1,WWS
ci.ne.ceʃ,CV.CV.CVC,3,كينه‌‌كش,A0,1,WWS
ci.ne.ce.ʃi,CV.CV.CV.CV,4,كينه‌‌كشي,N1,3,WWWS
ci.ne.vær,CV.CV.CVC,3,كينه‌‌ور,A0,1,WWS
ci.ne.vær.zɒ.ne,CV.CV.CVC.CV.CV,5,كينه‌‌ورزانه,Ad,1,WWWWS
ci.ne.ʔi,CV.CV.CV,3,كينه‌اي,A0,15,WWS
ci.ne.ʤu.ʔi,CV.CV.CV.CV,4,كينه‌جوئي,N1,15,WWWS
ci.ne.ʤu.jɒ.ne,CV.CV.CV.CV.CV,5,كينه‌جويانه,Ad,15,WWWWS
ci.ne.ʤu.ji,CV.CV.CV.CV,4,كينه‌جويي,N1,30,WWWS
ci.ne.vær.zi,CV.CV.CVC.CV,4,كينه‌ورزي,N1,15,WWWS
ci.nin,CV.CVC,2,كينين,N1,1,WS
cej.hɒn,CVC.CVC,2,كيهان,N1,90,WS
cej.hɒn.ʃe.nɒs,CVC.CVC.CV.CVC,4,كيهان‌‌شناس,N1,2,WWWS
cej.hɒn.ʃe.nɒ.si,CVC.CVC.CV.CV.CV,5,كيهان‌‌شناسي,N1,6,WWWWS
cej.hɒn.ɟos.tær,CVC.CVC.CVC.CVC,4,كيهان‌‌گستر,A0,2,WWWS
cej.hɒn.mæ.dɒr,CVC.CVC.CV.CVC,4,كيهان‌‌مدار,A0,2,WWWS
cej.hɒn.næ.værd,CVC.CVC.CV.CVCC,4,كيهان‌‌نورد,A0,2,WWWS
cej.hɒn.næ.vær.di,CVC.CVC.CV.CVC.CV,5,كيهان‌‌نوردي,N1,6,WWWWS
cej.hɒn.ʃe.nɒχt,CVC.CVC.CV.CVCC,4,كيهان‌شناخت,N1,1,WWWS
cej.hɒn.zɒ.ji,CVC.CVC.CV.CV,4,كيهانزايي,N1,1,WWWS
cej.hɒ.ni,CVC.CV.CV,3,كيهاني,A0,15,WWS
cej.vɒn,CVC.CVC,2,كيوان,N1,30,WS
ci.jusc,CV.CVCC,2,كيوسك,N1,16,WS
ci.jusc.mɒ.nænd,CV.CVCC.CV.CVCC,4,كيوسك‌‌مانند,A0,1,WWWS
ci.vi,CV.CV,2,كيوي,N1,75,WS
ci.vi.cɒr,CV.CV.CVC,3,كيوي‌‌كار,N1,4,WWS
ɟe.ʔez,CV.CVC,2,گئز,N1,1,WS
ɟɒ,CV,1,گا,V1,5000,S
ɟɒ.bɒr.din,CV.CVC.CVC,3,گاباردين,N1,1,WWS
ɟɒt,CVC,1,گات,N1,15,S
ɟɒ.do.li.ni.jom,CV.CV.CV.CV.CVC,5,گادولينيم,N1,1,WWWWS
ɟɒ.rɒʒ,CV.CVC,2,گاراژ,N1,15,WS
ɟɒ.rɒʒ.dɒr,CV.CVC.CVC,3,گاراژدار,N1,1,WWS
ɟɒ.rɒn.ti,CV.CVC.CV,3,گارانتي,N1,2,WWS
ɟɒrd,CVCC,1,گارد,N1,30,S
ɟɒrd.rejl,CVCC.CVCC,2,گاردريل,N1,1,WS
ɟɒr.den.pɒr.ti,CVC.CVC.CVC.CV,4,گاردن‌پارتي,N1,1,WWWS
ɟɒr.di,CVC.CV,2,گاردي,A0,120,WS
ɟɒr.son,CVC.CVC,2,گارسن,N1,1,WS
ɟɒr.se,CVC.CV,2,گارسه,N1,1,WS
ɟɒr.son,CVC.CVC,2,گارسون,N1,1,WS
ɟɒr.mon,CVC.CVC,2,گارمون,N1,1,WS
ɟɒ.ro,CV.CV,2,گارو,N1,1,WS
ɟɒ.ri,CV.CV,2,گاري,N1,15,WS
ɟɒ.ri.ʧi,CV.CV.CV,3,گاريچي,N1,1,WWS
ɟɒz,CVC,1,گاز,N1,1185,S
ɟɒ.zɒb,CV.CVC,2,گازاب,N1,1,WS
ɟɒ.zæn.bor,CV.CVC.CVC,3,گازانبر,N1,1,WWS
ɟɒ.zæn.bo.ri,CV.CVC.CV.CV,4,گازانبري,A0,3,WWWS
ɟɒz.χɒn,CVC.CVC,2,گازخان,N1,1,WS
ɟɒz.χiz,CVC.CVC,2,گازخيز,A0,1,WS
ɟɒz.dɒr,CVC.CVC,2,گازدار,A0,30,WS
ɟɒz.dɒ.ri,CVC.CV.CV,3,گازداري,N1,15,WWS
ɟɒ.zor,CV.CVC,2,گازر,N1,1,WS
ɟɒz.ro.bɒ,CVC.CV.CV,3,گازربا,N1,1,WWS
ɟɒz.re.sɒ.ni,CVC.CV.CV.CV,4,گازرساني,N1,120,WWWS
ɟɒ.zo.ri,CV.CV.CV,3,گازري,N1,1,WWS
ɟɒz.zo.dɒ.ʔi,CVC.CV.CV.CV,4,گاززدائي,N1,30,WWWS
ɟɒz.zo.dɒ.ji,CVC.CV.CV.CV,4,گاززدايي,N1,2,WWWS
ɟɒz.suz,CVC.CVC,2,گازسوز,A0,30,WS
ɟɒz.cær.bo.nic,CVC.CVC.CV.CVC,4,گازكربنيك,N1,2,WWWS
ɟɒz.ce.ʃi,CVC.CV.CV,3,گازكشي,N1,1,WWS
ɟɒz.ɟe.ref.te.ɟi,CVC.CV.CVC.CV.CV,5,گازگرفتگي,N1,45,WWWWS
ɟɒ.zo.ʔil,CV.CV.CVC,3,گازوئيل,N1,120,WWS
ɟɒ.zo.ʔil.suz,CV.CV.CVC.CVC,4,گازوئيل‌سوز,A0,1,WWWS
ɟɒ.zo.ʔi.li,CV.CV.CV.CV,4,گازوئيلي,A0,30,WWWS
ɟɒ.zo.jil,CV.CV.CVC,3,گازوييل,N1,15,WWS
ɟɒ.zi,CV.CV,2,گازي,N1,90,WS
ɟɒ.zi.ʃecl,CV.CV.CVCC,3,گازي‌شكل,A0,1,WWS
ɟɒs,CVC,1,گاس,Ad,1,S
ɟɒs.te.rit,CVC.CV.CVC,3,گاستريت,N1,1,WWS
ɟɒs.te.rin,CVC.CV.CVC,3,گاسترين,N1,1,WWS
ɟɒf,CVC,1,گاف,N1,1,S
ɟɒl,CVC,1,گال,N1,15,S
ɟɒ.lɒc.toz,CV.CVC.CVC,3,گالاكتوز,N1,1,WWS
ɟɒ.lɒnt,CV.CVCC,2,گالانت,N1,6,WS
ɟɒ.le.ri,CV.CV.CV,3,گالري,N1,90,WWS
ɟɒ.leʃ,CV.CVC,2,گالش,N1,1,WS
ɟɒ.leʃ.du.zi,CV.CVC.CV.CV,4,گالش‌دوزي,N1,1,WWWS
ɟɒ.lon,CV.CVC,2,گالن,N1,19,WS
ɟɒ.le,CV.CV,2,گاله,N1,1,WS
ɟɒl.vɒ.no.metr,CVC.CV.CV.CVCC,4,گالوانومتر,N1,1,WWWS
ɟɒl.vɒ.ni.ze,CVC.CV.CV.CV,4,گالوانيزه,A0,17,WWWS
ɟɒl.vɒ.nism,CVC.CV.CVCC,3,گالوانيسم,N1,1,WWS
ɟɒ.lon,CV.CVC,2,گالون,N1,1,WS
ɟɒ.li,CV.CV,2,گالي,N1,1,WS
ɟɒ.lic,CV.CVC,2,گاليك,A0,8,WS
ɟɒ.lim,CV.CVC,2,گاليم,N1,2,WS
ɟɒ.lin.ɟor,CV.CVC.CVC,3,گالينگور,N1,1,WWS
ɟɒm,CVC,1,گام,N1,345,S
ɟɒm.be.ɟɒm,CVC.CV.CVC,3,گام‌به‌گام,N1,90,WWS
ɟɒm.sænʤ,CVC.CVCC,2,گام‌سنج,N1,1,WS
ɟɒ.mɒ,CV.CV,2,گاما,N1,45,WS
ɟɒ.mɒ.ɟo.lu.bu.lin,CV.CV.CV.CV.CV.CVC,6,گاماگلبولين,N1,1,WWWWWS
ɟɒm.bu,CVC.CV,2,گامبو,A0,1,WS
ɟɒm.bi.jɒ.ʔi,CVC.CV.CV.CV,4,گامبيائي,A0,1,WWWS
ɟɒm.bi.jɒ.ji,CVC.CV.CV.CV,4,گامبيايي,A0,2,WWWS
ɟɒ.met,CV.CVC,2,گامت,N1,1,WS
ɟɒ.me.to.fit,CV.CV.CV.CVC,4,گامتوفيت,N1,1,WWWS
ɟɒn,CVC,1,گان,N1,30,S
ɟɒn.ɟes.ter,CVC.CVC.CVC,3,گانگستر,N1,9,WWS
ɟɒn.ɟes.te.ri,CVC.CVC.CV.CV,4,گانگستري,A0,3,WWWS
ɟɒn.ɟel.jon,CVC.CVC.CVC,3,گانگليون,N1,1,WWS
ɟɒ.ne,CV.CV,2,گانه,N1,19,WS
ɟɒ.ne.zɒ,CV.CV.CV,3,گانه‌زا,N1,1,WWS
ɟɒh,CVC,1,گاه,Ad,345,S
ɟɒh.be.ɟɒh,CVC.CV.CVC,3,گاه‌به‌گاه,Ad,15,WWS
ɟɒh.ɟo.dɒr,CVC.CV.CVC,3,گاه‌گدار,N1,1,WWS
ɟɒh.ɟo.dɒ.ri,CVC.CV.CV.CV,4,گاه‌گداري,N1,1,WWWS
ɟɒ.ho.bi.ɟɒh,CV.CV.CV.CVC,4,گاه‌و‌‌بيگاه,Ad,15,WWWS
ɟɒ.hæn,CV.CVC,2,گاهاً,Ad,5,WS
ɟɒ.hɒn,CV.CVC,2,گاهان,N1,1,WS
ɟɒh.ʃo.mɒr,CVC.CV.CVC,3,گاهشمار,N1,15,WWS
ɟɒh.ʃo.mɒ.ri,CVC.CV.CV.CV,4,گاهشماري,N1,1,WWWS
ɟɒh.ʃe.nɒ.si,CVC.CV.CV.CV,4,گاهشناسي,N1,1,WWWS
ɟɒh.ɟɒh,CVC.CVC,2,گاهگاه,Ad,30,WS
ɟɒh.ɟɒ.hi,CVC.CV.CV,3,گاهگاهي,Ad,15,WWS
ɟɒh.nɒ.me,CVC.CV.CV,3,گاهنامه,N1,2,WWS
ɟɒ.hɒn.bɒr,CV.CVC.CVC,3,گاهنبار,N1,2,WWS
ɟɒh.vɒ.re,CVC.CV.CV,3,گاهواره,N1,4,WWS
ɟɒ.hi,CV.CV,2,گاهي,Ad,810,WS
ɟɒv,CVC,1,گاو,N1,255,S
ɟɒ.vɒ.hæn,CV.CV.CVC,3,گاوآهن,N1,1,WWS
ɟɒ.vɒn,CV.CVC,2,گاوان,N1,1,WS
ɟɒv.bɒz,CVC.CVC,2,گاوباز,N1,1,WS
ɟɒv.bɒ.zi,CVC.CV.CV,3,گاوبازي,N1,1,WWS
ɟɒv.bæn.di,CVC.CVC.CV,3,گاوبندي,N1,2,WWS
ɟɒv.ʧe.rɒn,CVC.CV.CVC,3,گاوچران,N1,1,WWS
ɟɒv.dɒr,CVC.CVC,2,گاودار,A0,4,WS
ɟɒv.dɒ.ri,CVC.CV.CV,3,گاوداري,N1,15,WWS
ɟɒv.dɒ.ne,CVC.CV.CV,3,گاودانه,N1,1,WWS
ɟɒv.ræs,CVC.CVC,2,گاورس,N1,1,WS
ɟɒv.zæ.bɒn,CVC.CV.CVC,3,گاوزبان,N1,7,WWS
ɟɒv.zæ.bɒ.ni.jɒn,CVC.CV.CV.CV.CVC,5,گاوزبانيان,N1,1,WWWWS
ɟɒv.ʃir,CVC.CVC,2,گاوشير,N1,1,WS
ɟɒv.sæn.doG,CVC.CVC.CVC,3,گاوصندوق,N1,11,WWS
ɟɒv.miʃ,CVC.CVC,2,گاوميش,N1,45,WS
ɟɒ.ve,CV.CV,2,گاوه,N1,1,WS
ɟɒ.vi,CV.CV,2,گاوي,A0,15,WS
ɟɒ.jid,CV.CVC,2,گاييد,V2,5000,WS
ɟæb,CVC,1,گب,N1,2,S
ɟæbr,CVCC,1,گبر,N1,15,S
ɟæb.ræc,CVC.CVC,2,گبرك,N1,1,WS
ɟæb.ri,CVC.CV,2,گبري,A0,1,WS
ɟæb.be,CVC.CV,2,گبه,N1,60,WS
ɟæb.be.bɒ.fi,CVC.CV.CV.CV,4,گبه‌بافي,N1,15,WWWS
ɟæp,CVC,1,گپ,N1,10,S
ɟæ.to.ɟon.de,CV.CV.CVC.CV,4,گت‌وگنده,A0,1,WWWS
ɟetr,CVCC,1,گتر,N1,1,S
ɟe.to,CV.CV,2,گتو,N1,1,WS
ɟo.ʤæ.rɒ.ti,CV.CV.CV.CV,4,گجراتي,A0,1,WWWS
ɟæʧ,CVC,1,گچ,N1,105,S
ɟæ.ʧæn.dud,CV.CVC.CVC,3,گچ‌اندود,A0,1,WWS
ɟæʧ.bor,CVC.CVC,2,گچ‌بر,N1,1,WS
ɟæʧ.bo.ri.ʃo.de,CVC.CV.CV.CV.CV,5,گچ‌بري‌شده,A0,2,WWWWS
ɟæʧ.pæ.zi,CVC.CV.CV,3,گچ‌پزي,N1,1,WWS
ɟæʧ.cɒ.ri,CVC.CV.CV,3,گچ‌كاري,N1,2,WWS
ɟæʧ.cɒ.ri.ʃo.de,CVC.CV.CV.CV.CV,5,گچ‌كاري‌شده,A0,1,WWWWS
ɟæʧ.bo.ri,CVC.CV.CV,3,گچبري,N1,180,WWS
ɟæʧ.dɒr,CVC.CVC,2,گچدار,A0,15,WS
ɟæʧ.sɒ.rɒ.ni,CVC.CV.CV.CV,4,گچساراني,A0,1,WWWS
ɟæʧ.cɒr,CVC.CVC,2,گچكار,N1,1,WS
ɟæ.ʧi,CV.CV,2,گچي,A0,60,WS
ɟe.dɒ,CV.CV,2,گدا,N1,15,WS
ɟe.dɒ.ʔi,CV.CV.CV,3,گدائي,N1,15,WWS
ɟe.dɒ.bɒ.zi,CV.CV.CV.CV,4,گدابازي,N1,1,WWWS
ɟe.dɒ.χɒ.ne,CV.CV.CV.CV,4,گداخانه,N1,1,WWWS
ɟo.dɒχt,CV.CVCC,2,گداخت,V2,5000,WS
ɟo.dɒχ.te.ɟi,CV.CVC.CV.CV,4,گداختگي,N1,1,WWWS
ɟo.dɒχ.te,CV.CVC.CV,3,گداخته,A0,1,WWS
ɟo.dɒr,CV.CVC,2,گدار,N1,7,WS
ɟo.dɒz,CV.CVC,2,گداز,V1,5000,WS
ɟo.dɒ.zɒn,CV.CV.CVC,3,گدازان,A0,1,WWS
ɟo.dɒ.zɒnd,CV.CV.CVCC,3,گدازاند,V2,5000,WWS
ɟo.dɒ.zɒ.nid,CV.CV.CV.CVC,4,گدازانيد,V2,5000,WWWS
ɟo.dɒ.ze,CV.CV.CV,3,گدازه,N1,60,WWS
ɟo.dɒ.ze.ji,CV.CV.CV.CV,4,گدازه‌يي,A0,2,WWWS
ɟo.dɒ.zid,CV.CV.CVC,3,گدازيد,V2,5000,WWS
ɟe.dɒ.jɒ.ne,CV.CV.CV.CV,4,گدايانه,A0,1,WWWS
ɟe.dɒ.ji,CV.CV.CV,3,گدايي,N1,18,WWS
ɟo.zɒr,CV.CVC,2,گذار,N1,75,WS
ɟo.zɒr,CV.CVC,2,گذار,V1,5000,WS
ɟo.zɒrd,CV.CVCC,2,گذارد,V2,5000,WS
ɟo.zɒr.de,CV.CVC.CV,3,گذارده,A0,148,WWS
ɟo.zɒ.ræn.de,CV.CV.CVC.CV,4,گذارنده,A0,15,WWWS
ɟo.zɒʃt,CV.CVCC,2,گذاشت,V2,5000,WS
ɟo.zɒʃ.te,CV.CVC.CV,3,گذاشته,A0,1151,WWS
ɟo.zær,CV.CVC,2,گذر,N1,105,WS
ɟo.zær,CV.CVC,2,گذر,V1,5000,WS
ɟo.zæ.rɒ,CV.CV.CV,3,گذرا,A0,45,WWS
ɟo.zæ.rɒn,CV.CV.CVC,3,گذران,A0,15,WWS
ɟo.zæ.rɒn,CV.CV.CVC,3,گذران,V1,5000,WWS
ɟo.zæ.rɒnd,CV.CV.CVCC,3,گذراند,V2,5000,WWS
ɟo.zæ.rɒn.de,CV.CV.CVC.CV,4,گذرانده,A0,54,WWWS
ɟo.zæ.rɒ.ne,CV.CV.CV.CV,4,گذرانه,N1,1,WWWS
ɟo.zæ.rɒ.nid,CV.CV.CV.CVC,4,گذرانيد,V2,5000,WWWS
ɟo.zæ.rɒ.ni.de,CV.CV.CV.CV.CV,5,گذرانيده,A0,9,WWWWS
ɟo.zær.bɒn,CV.CVC.CVC,3,گذربان,N1,1,WWS
ɟo.zær.co.næn.de,CV.CVC.CV.CVC.CV,5,گذركننده,A0,2,WWWWS
ɟo.zær.ɟɒh,CV.CVC.CVC,3,گذرگاه,N1,45,WWS
ɟo.zær.ɟɒ.hi,CV.CVC.CV.CV,4,گذرگاهي,A0,1,WWWS
ɟo.zær.nɒ.me,CV.CVC.CV.CV,4,گذرنامه,N1,45,WWWS
ɟo.zær.nɒ.me.ʔi,CV.CVC.CV.CV.CV,5,گذرنامه‌اي,A0,1,WWWWS
ɟo.zæ.ræn.de,CV.CV.CVC.CV,4,گذرنده,A0,2,WWWS
ɟo.zæ.ri,CV.CV.CV,3,گذري,A0,60,WWS
ɟo.zæʃt,CV.CVCC,2,گذشت,N1,300,WS
ɟo.zæʃt,CV.CVCC,2,گذشت,V2,5000,WS
ɟo.zæʃ.te.ɟɒn,CV.CVC.CV.CVC,4,گذشتگان,N1,3,WWWS
ɟo.zæʃ.te,CV.CVC.CV,3,گذشته,A0,300,WWS
ɟo.zæʃ.te.ɟe.rɒ,CV.CVC.CV.CV.CV,5,گذشته‌گرا,A0,1,WWWWS
ɟo.zæʃ.te.ɟe.rɒ.ji,CV.CVC.CV.CV.CV.CV,6,گذشته‌گرايي,N1,2,WWWWWS
ɟo.zæʃ.te.ne.ɟær,CV.CVC.CV.CV.CVC,5,گذشته‌نگر,A0,2,WWWWS
ɟo.zæʃ.te.ne.ɟæ.ri,CV.CVC.CV.CV.CV.CV,6,گذشته‌نگري,N1,1,WWWWWS
ɟær,CVC,1,گر,Ad,75,S
ɟer,CVC,1,گر,V1,5000,S
ɟor,CVC,1,گر,N1,105,S
ɟor.ɟe.ref.te.ɟi,CVC.CV.CVC.CV.CV,5,گر‌گرفتگي,N1,6,WWWWS
ɟe.rɒ,CV.CV,2,گرا,N1,1,WS
ɟe.rɒ,CV.CV,2,گرا,V1,5000,WS
ɟe.rɒ.ʔid,CV.CV.CVC,3,گرائيد,V2,5000,WWS
ɟe.rɒ.ʔi.de,CV.CV.CV.CV,4,گرائيده,A0,5,WWWS
ɟe.rɒ.te,CV.CV.CV,3,گراته,N1,1,WWS
ɟe.rɒd,CV.CVC,2,گراد,N1,1,WS
ɟe.rɒ.di.jɒn,CV.CV.CV.CVC,4,گراديان,N1,15,WWWS
ɟo.rɒz,CV.CVC,2,گراز,N1,6,WS
ɟe.rɒf,CV.CVC,2,گراف,N1,60,WS
ɟe.rɒ.fit,CV.CV.CVC,3,گرافيت,N1,1,WWS
ɟe.rɒ.fi.ti,CV.CV.CV.CV,4,گرافيتي,A0,1,WWWS
ɟe.rɒ.fist,CV.CV.CVCC,3,گرافيست,N1,15,WWS
ɟe.rɒ.fic,CV.CV.CVC,3,گرافيك,N1,90,WWS
ɟe.rɒ.fi.ci,CV.CV.CV.CV,4,گرافيكي,A0,60,WWWS
ɟe.rɒm,CV.CVC,2,گرام,A0,4,WS
ɟe.rɒ.mɒ.fon,CV.CV.CV.CVC,4,گرامافن,N1,1,WWWS
ɟe.rɒ.mɒ.fon,CV.CV.CV.CVC,4,گرامافون,N1,6,WWWS
ɟe.rɒ.mer,CV.CV.CVC,3,گرامر,N1,7,WWS
ɟe.rɒ.mi,CV.CV.CV,3,گرامي,A0,510,WWS
ɟe.rɒ.mi.dɒʃt,CV.CV.CV.CVCC,4,گرامي‌داشت,N1,300,WWWS
ɟe.rɒn,CV.CVC,2,گران,A0,165,WS
ɟe.rɒn,CV.CVC,2,گران,V1,5000,WS
ɟe.rɒn.sænɟ,CV.CVC.CVCC,3,گران‌سنگ,A0,15,WWS
ɟe.rɒn.fu.ruʃ,CV.CVC.CV.CVC,4,گران‌فروش,A0,11,WWWS
ɟe.rɒn.fo.ru.ʃi,CV.CVC.CV.CV.CV,5,گران‌فروشي,N1,45,WWWWS
ɟe.rɒn.Gej.mæt,CV.CVC.CVC.CVC,4,گران‌قيمت,A0,60,WWWS
ɟe.rɒn.bɒr,CV.CVC.CVC,3,گرانبار,A0,7,WWS
ɟe.rɒn.bæ.hɒ,CV.CVC.CV.CV,4,گرانبها,A0,105,WWWS
ɟe.rɒn.ʤɒn,CV.CVC.CVC,3,گرانجان,A0,1,WWS
ɟe.rɒnd.ho.tel,CV.CVCC.CV.CVC,4,گراندهتل,N1,4,WWWS
ɟe.rɒn.du.ʃes,CV.CVC.CV.CVC,4,گراندوشس,N1,1,WWWS
ɟe.rɒn.duc,CV.CVC.CVC,3,گراندوك,N1,1,WWS
ɟe.rɒn.ræ.vi,CV.CVC.CV.CV,4,گرانروي,N1,1,WWWS
ɟe.rɒ.neʃ,CV.CV.CVC,3,گرانش,N1,1,WWS
ɟe.rɒn.Gædr,CV.CVC.CVCC,3,گرانقدر,A0,105,WWS
ɟe.rɒn.mɒ.je,CV.CVC.CV.CV,4,گرانمايه,A0,15,WWWS
